sku,year_month,revenue,quantity,unique_customers,avg_discount_pct,avg_unit_price,units_sold,delivered_qty,stock_available,price_unit,promotion_flag,delivery_days,year_month_dt,launch_month,product_age_months,sales_growth_rate,rolling_avg_sales_3m,rolling_avg_sales_6m,consecutive_negative_growth_count,sales_std_dev_3m,coefficient_of_variation,growth_volatility_3m,peak_sales_value,drop_from_peak_percentage,is_peak_month,time_since_peak,sales_momentum,plc_stage,decline_risk_3m,decline_risk_prob,decline_risk_level,decline_reason,recommended_action
ju-021,2022-01,9535.51,1724,673,5.370629370629371,5.193201631701632,1724.0,0.0,157.90634361902644,5.193201631701632,0.0,3.02672390621261,2022-01-01,2022-01-01,0,0.0,1724.0,1724.0,0,0.0,0.0,0.0,1724.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
mi-002,2022-01,6795.22,1269,503,5.454545454545454,4.995768623737374,1269.0,0.0,157.08048543749308,4.995768623737374,0.0,3.0019508074517507,2022-01-01,2022-01-01,0,0.0,1269.0,1269.0,0,0.0,0.0,0.0,1269.0,0.0,1,0,0.0,Introduction,0,0.0027304964539007093,Low Risk,,
yo-014,2022-01,10125.27,2005,752,5.32059186189889,5.168530620632963,2005.0,0.0,158.1051590882524,5.168530620632963,0.0,2.9824280602846898,2022-01-01,2022-01-01,0,0.0,2005.0,2005.0,0,0.0,0.0,0.0,2005.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-012,2022-01,10890.65,1969,740,5.0566750629722925,5.129565491183879,1969.0,0.0,157.35076740593664,5.129565491183879,0.0,3.005546044013909,2022-01-01,2022-01-01,0,0.0,1969.0,1969.0,0,0.0,0.0,0.0,1969.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-009,2022-01,9608.6,1781,663,5.363636363636363,5.154412587412588,1781.0,0.0,157.6042480356272,5.154412587412588,0.0,3.0203479302422136,2022-01-01,2022-01-01,0,0.0,1781.0,1781.0,0,0.0,0.0,0.0,1781.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-005,2022-01,11587.98,1967,757,5.528606965174129,5.158110489220564,1967.0,0.0,157.6589602862352,5.158110489220564,0.0,3.020077337555214,2022-01-01,2022-01-01,0,0.0,1967.0,1967.0,0,0.0,0.0,0.0,1967.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-003,2022-01,9480.65,1664,629,5.472263868065967,5.205544727636182,1664.0,0.0,158.03803096024694,5.205544727636182,0.0,3.005501598154018,2022-01-01,2022-01-01,0,0.0,1664.0,1664.0,0,0.0,0.0,0.0,1664.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
mi-006,2022-01,10008.51,2030,752,5.452876376988984,5.121198490412077,991.0,13967.0,161.94871794871796,5.094295934175877,1.0,2.9875322262088706,2022-01-01,2022-01-01,0,0.0,991.0,991.0,0,0.0,0.0,0.0,991.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-001,2022-01,10399.53,1969,745,5.380774032459426,5.237721598002497,1969.0,0.0,157.39210058585013,5.237721598002497,0.0,3.0268535948592565,2022-01-01,2022-01-01,0,0.0,1969.0,1969.0,0,0.0,0.0,0.0,1969.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
sn-030,2022-01,5986.57,1093,434,5.2555555555555555,5.468975925925926,1093.0,0.0,157.93209873196346,5.468975925925926,0.0,3.031663916920807,2022-01-01,2022-01-01,0,0.0,1093.0,1093.0,0,0.0,0.0,0.0,1093.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
sn-028,2022-01,6160.35,1124,433,5.280269058295964,5.058632286995516,1124.0,0.0,157.84454134161965,5.058632286995516,0.0,3.0165809015432297,2022-01-01,2022-01-01,0,0.0,1124.0,1124.0,0,0.0,0.0,0.0,1124.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
sn-027,2022-01,8171.14,1514,609,5.425867507886435,4.957393533123029,1514.0,0.0,157.58855976896365,4.957393533123029,0.0,3.007103319171543,2022-01-01,2022-01-01,0,0.0,1514.0,1514.0,0,0.0,0.0,0.0,1514.0,0.0,1,0,0.0,Introduction,0,0.0028972122455960324,Low Risk,,
sn-019,2022-01,6661.67,1276,500,4.9015748031496065,5.376171259842519,1276.0,0.0,157.1942994680801,5.376171259842519,0.0,3.0101191763912754,2022-01-01,2022-01-01,0,0.0,1276.0,1276.0,0,0.0,0.0,0.0,1276.0,0.0,1,0,0.0,Introduction,0,0.0029750614682121533,Low Risk,,
